0,0,0,0,0,0
33,46,0,0,0,0
2,0,0,0,0,0
7,14,0,0,0,0
97,121,6,0,30,0
174,224,0,0,3,0
7,32,1,4,0,0
34,64,1,0,2,0
135,99,0,0,0,0
22,59,1,0,13,1
55,66,0,0,8,1
132,94,1,0,0,0
71,176,12,3,40,0
0,2,0,0,0,0
53,80,14,2,2,0
2,75,0,0,0,4
114,163,2,2,10,0
9,20,14,0,0,0
49,117,9,3,0,0
396,247,0,0,4,0
110,203,0,0,2,0
3,16,0,0,0,0
0,2,5,15,0,0
2,18,3,9,0,0
223,392,7,4,24,3
198,328,40,41,112,4
221,244,1,0,55,0
720,755,114,16,11,2
53,166,11,23,69,1
7,3,1,1,1,0
17,31,9,1,4,0
146,137,1,0,0,0
132,386,3,0,4,0
160,110,4,0,1,0
986,1189,10,0,37,0
5,4,0,0,4,0
0,5,0,0,0,0
19,82,0,0,0,0
0,0,0,0,1,0
20,59,0,1,36,18
142,190,8,0,62,0
79,65,1,0,1,0
55,149,0,1,0,0
52,79,2,1,4,0
125,155,0,0,0,0
270,303,17,7,11,0
120,128,0,0,0,0
73,50,0,0,0,0
161,329,20,13,1,1
296,331,4,0,2,0
81,245,6,0,1,0
1,4,0,0,0,0
12,30,0,0,0,0
29,61,0,1,0,0
0,14,3,12,0,2
2,0,0,0,2,0
10,3,0,0,0,0
0,2,0,0,0,0
177,241,3,0,2,0
2,1,0,0,0,0
0,123,0,6,0,3
21,75,0,1,6,1
106,149,1,0,0,0
349,1063,3,0,39,0
37,73,0,0,0,0
56,102,0,0,0,0
91,88,0,0,0,0
91,89,0,0,0,0
30,1,2,31,0,0
92,48,0,0,0,0
5,29,0,0,0,3
96,36,0,0,23,0
593,486,0,0,7,0
349,437,2,0,37,0
6,13,0,0,0,0
938,1167,107,87,17,4
50,112,5,1,4,0
1,1,0,0,0,0
90,139,0,0,0,0
51,55,0,0,2,0
37,133,29,0,50,0
320,343,2,0,7,0
56,161,0,0,1,0
22,36,1,0,15,65
3,19,1,27,3,2
11,16,0,0,0,0
0,13,0,0,0,0
4,16,0,0,0,0
5,17,0,0,5,0
2,8,0,0,0,0
55,51,0,0,0,0
0,2,0,0,0,0
247,268,10,0,2,0
140,192,0,0,0,0
2,3,0,0,10,0
214,189,1,3,7,0
15,30,2,0,1,0
172,139,11,0,35,0
95,247,0,7,0,0
4,8,3,0,2,0
0,26,0,0,0,0
25,133,1,0,1,0
36,13,0,0,0,0
86,71,0,0,0,0
112,119,57,21,57,2
7,11,0,0,1,0
61,101,0,0,54,0
20,99,0,0,3,0
134,199,0,0,0,0
23,18,2,3,3,0
38,5,0,0,0,0
2,3,0,0,0,0
14,34,7,0,0,0
126,137,0,0,0,0
53,75,0,0,2,0
1,11,0,0,1,0
97,111,14,0,5,0
45,60,7,0,1,0
208,219,28,4,22,0
64,87,8,3,49,0
37,64,0,0,9,0
6,21,1,1,0,0
211,347,3,0,0,0
1,0,0,0,0,0
18,31,0,0,0,0
3,4,1,0,0,1
31,56,0,0,3,0
24,28,0,0,10,3
0,6,0,0,0,0
39,85,3,1,8,0
125,206,4,6,7,11
3,61,0,0,26,0
1,20,0,5,0,0
48,38,12,24,11,23
24,29,0,0,43,0
178,343,28,2,3,2
68,114,13,0,39,28
34,61,11,7,15,1
458,374,69,13,21,0
61,91,0,0,0,0
41,41,0,0,3,5
49,80,0,0,28,0
4,6,0,0,1,0
6,30,0,0,1,3
35,10,1,0,1,0
20,29,0,0,1,0
13,13,13,1,23,2
53,100,25,18,4,1
8,38,0,0,1,0
20,72,0,0,13,0
38,76,0,4,2,0
22,19,0,0,0,0
6,24,0,0,2,0
57,61,0,0,54,0
130,128,1,0,76,0
1,1,0,0,2,1
12,91,1,0,81,0
0,5,0,0,0,0
3,19,1,0,0,0
102,94,2,3,0,0
1,2,0,0,0,0
283,373,41,16,0,0
637,690,17,22,11,0
5,4,6,0,1,0
6,18,0,0,0,0
103,140,2,1,0,0
66,110,5,1,0,0
154,71,44,4,1,0
