微信,83714573,8
DNS查询流量,34776648,8
Web上网流量（Get）,15423845,8
Web上网流量（Post）,12809814,8
网络连接流量,12541783,8
未识别TCP业务流量,12232186,8
苹果公共资源,9054844,7
淘宝网,8263744,7
快手,6470873,7
百度,5759658,7
QQ,4163972,7
其他业务流量,3902694,7
未识别UDP业务流量,3691956,7
爱奇艺视频,3425242,7
头条网公共资源,3336480,7
百度地图,3318045,7
高德官方网站,3252673,7
支付宝,3095050,7
今日头条,2821025,7
新浪微博,2526683,7
腾讯网,2328030,7
SSL安全类业务流量,2289633,7
小米商城,2086725,7
头条网,1813428,7
高德地图,1723496,7
手机百度,1576624,7
vivo网站,1459089,7
酷狗音乐,1391883,7
NTP协议,1232721,7
高德导航,1188493,7
网络时代组织,1181851,7
谷歌,1165571,7
OPPO软件商店,1120432,7
京东,1107697,7
K歌达人,1052586,7
个信,1040666,7
华为网站,1002188,7
AccuWeather,982332,6
美团网,978849,6
海度2,960835,6
西瓜视频,951425,6
微软公共资源,943094,6
旺信,886963,6
搜狗搜索,875993,6
UC浏览器,866936,6
可可软件商店,850905,6
iCloud,841150,6
手机淘宝,814641,6
友盟广告平台,779270,6
网易云音乐,775060,6
crashlytics,693386,6
网易网,683891,6
魅族应用商店,682758,6
优酷视频,601437,6
WiFi万能钥匙,595095,6
爱奇艺,579214,6
智汇云,573540,6
腾讯视频,567718,6
极光推送,563458,6
谷歌广告平台,535010,6
360安全中心网,507962,6
大众点评网,498220,6
优酷,491229,6
百度贴吧,480511,6
阿里云,443329,6
苹果网站,436869,6
江苏网络电视台,425862,6
个推推送,400679,6
CNZZ,376415,5
喜马拉雅FM,368690,5
搜狗输入法,365352,5
考拉FM,364645,5
火山直播,350932,5
天猫商城,346447,5
NETBIOS流量,341161,5
北京泰迪熊移动科技有限公司,334666,5
魅族官网首页,329122,5
360手机卫士,312010,5
墨迹天气,309507,5
滴滴一下,295900,5
58同城,278196,5
沃音乐,260361,5
广点通,259125,5
王者荣耀,247244,5
汽车之家,246107,5
知乎,241384,5
携程旅行网,241144,5
芒果TV,238395,5
腾讯地图,230575,5
哔哩哔哩动画,229920,5
虾米音乐,229014,5
阿里DNS,220077,5
酷我音乐,214935,5
小米门户,213289,5
网易新闻,208748,5
搜狐网,204517,5
金山手机毒霸,203349,5
QQ音乐,200548,5
追书神器,196113,4
YY语音,194701,4
一点资讯,194234,4
金立网站,191424,4
新浪网,190793,4
微信网,187776,4
陌陌,181806,4
好玩聊聊,178502,4
美拍,172262,4
MediaV聚胜万合,171929,4
Mob官网,167681,4
腾讯直播,166683,4
艾瑞IRD数据产品,163455,4
沃tv,163287,4
天猫,162330,4
滴滴出行,161716,4
其他P2P业务流量,155731,4
爱奇艺PPS影音,153899,4
QQ互联,153334,4
星域CDN,153098,4
腾讯公共资源,150410,4
猎豹移动,146919,4
金山云,145967,4
斗鱼,145480,4
阿里巴巴,144003,4
唯品会,142766,4
百度手机助手,140637,4
基调网络,140559,4
MIUI米柚,136805,4
amazon云服务,136492,4
Facebook,135261,4
小米游戏网,134769,4
腾讯手机管家,134473,4
开心消消乐,131552,4
美团,131131,4
微软网站,130051,4
金山手机卫士,126296,4
GPS定位服务器,125187,4
AppStore,120973,4
抖音短视频,119020,4
Google分析,118201,4
360借条,113659,4
AppsFlyer,105648,4
迅雷,105566,4
The Weather Channel,104897,4
中国联通网上营业厅,103080,4
魅族公共资源,101971,4
中国联通手机营业厅,101728,4
探探,101294,4
COLOROS官方网站手机版,98738,3
顺丰速运,96267,3
WPS Office,96002,3
腾讯新闻,95952,3
百度公共资源,95595,3
flurry平台,93759,3
虎扑体育,92035,3
同花顺,91806,3
